envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
402	5994000	7314000	5634000	5874000	5754000	5394000	
403	6015000	7311000	5631000	5991000	5751000	5391000	
404	6012000	7308000	5628000	5988000	5748000	5388000	
405	6009000	7305000	5625000	5985000	5745000	5385000	
406	6006000	7302000	5622000	5982000	5742000	5382000	
407	6027000	7299000	5739000	5979000	5739000	5379000	
408	6072000	7416000	5736000	6096000	5736000	5376000	
409	6069000	7413000	5733000	6093000	5733000	5373000	
410	6138000	7410000	5850000	6090000	5850000	5490000	
411	6159000	7407000	5847000	6087000	5967000	5487000	
412	6156000	7404000	5844000	6084000	5964000	5484000	
413	6153000	7401000	5841000	6081000	5961000	5481000	
414	6150000	7398000	5838000	6078000	5958000	5478000	
415	6147000	7395000	5835000	6075000	5955000	5475000	
416	6168000	7392000	5832000	6192000	5952000	5472000	
417	6165000	7389000	5829000	6189000	5949000	5469000	
418	6186000	7506000	5826000	6186000	5946000	5466000	
419	6183000	7503000	5823000	6183000	5943000	5463000	
420	6204000	7500000	5940000	6180000	5940000	5460000	
421	6201000	7497000	5937000	6177000	5937000	5457000	
422	6198000	7494000	5934000	6174000	5934000	5454000	
423	6195000	7491000	5931000	6171000	5931000	5451000	
424	6240000	7608000	6048000	6168000	5928000	5448000	
425	6261000	7605000	6045000	6285000	5925000	5445000	
426	6306000	7722000	6042000	6282000	5922000	5562000	
427	6327000	7719000	6039000	6279000	6039000	5559000	
428	6396000	7716000	6156000	6396000	6156000	5556000	
429	6441000	7833000	6153000	6393000	6153000	5673000	
430	6486000	7830000	6150000	6510000	6150000	5790000	
431	6507000	7827000	6147000	6507000	6267000	5787000	
432	6504000	7824000	6144000	6504000	6264000	5784000	
433	6501000	7821000	6141000	6501000	6261000	5781000	
434	6522000	7938000	6138000	6498000	6258000	5778000	
435	6519000	7935000	6135000	6495000	6255000	5775000	
436	6564000	7932000	6132000	6492000	6372000	5892000	
437	6561000	7929000	6129000	6489000	6369000	5889000	
438	6606000	8046000	6126000	6486000	6486000	5886000	
439	6651000	8043000	6243000	6483000	6603000	5883000	
440	6672000	8040000	6240000	6480000	6720000	5880000	
441	6693000	8037000	6237000	6477000	6837000	5877000	
442	6738000	8154000	6234000	6474000	6834000	5994000	
443	6735000	8151000	6231000	6471000	6831000	5991000	
444	6804000	8148000	6348000	6588000	6828000	6108000	
445	6801000	8145000	6345000	6585000	6825000	6105000	
446	6846000	8262000	6342000	6582000	6822000	6222000	
447	6843000	8259000	6339000	6579000	6819000	6219000	
448	6840000	8256000	6336000	6576000	6816000	6216000	
449	6909000	8253000	6333000	6693000	6933000	6333000	
450	6954000	8250000	6450000	6810000	6930000	6330000	
451	6951000	8247000	6447000	6807000	6927000	6327000	
452	6972000	8244000	6564000	6804000	6924000	6324000	
453	6969000	8241000	6561000	6801000	6921000	6321000	
454	6966000	8238000	6558000	6798000	6918000	6318000	
455	6987000	8355000	6555000	6795000	6915000	6315000	
456	7008000	8352000	6552000	6792000	6912000	6432000	
457	7077000	8469000	6669000	6909000	6909000	6429000	
458	7074000	8466000	6666000	6906000	6906000	6426000	
459	7071000	8463000	6663000	6903000	6903000	6423000	
460	7116000	8580000	6660000	6900000	6900000	6540000	
461	7161000	8577000	6657000	6897000	7017000	6657000	
462	7158000	8574000	6654000	6894000	7014000	6654000	
463	7179000	8571000	6651000	6891000	7131000	6651000	
464	7200000	8568000	6768000	6888000	7128000	6648000	
465	7221000	8565000	6765000	6885000	7245000	6645000	
466	7218000	8562000	6762000	6882000	7242000	6642000	
467	7239000	8559000	6759000	6999000	7239000	6639000	
468	7284000	8556000	6876000	6996000	7236000	6756000	
469	7305000	8553000	6873000	6993000	7353000	6753000	
470	7326000	8550000	6870000	6990000	7470000	6750000	
471	7323000	8547000	6867000	6987000	7467000	6747000	
472	7344000	8544000	6984000	6984000	7464000	6744000	
473	7389000	8661000	6981000	6981000	7581000	6741000	
474	7410000	8658000	6978000	7098000	7578000	6738000	
475	7431000	8655000	6975000	7215000	7575000	6735000	
476	7428000	8652000	6972000	7212000	7572000	6732000	
477	7449000	8649000	6969000	7329000	7569000	6729000	
478	7470000	8766000	6966000	7326000	7566000	6726000	
479	7491000	8883000	6963000	7323000	7563000	6723000	
480	7488000	8880000	6960000	7320000	7560000	6720000	
481	7485000	8877000	6957000	7317000	7557000	6717000	
482	7482000	8874000	6954000	7314000	7554000	6714000	
483	7479000	8871000	6951000	7311000	7551000	6711000	
484	7500000	8868000	7068000	7308000	7548000	6708000	
485	7497000	8865000	7065000	7305000	7545000	6705000	
486	7518000	8982000	7062000	7302000	7542000	6702000	
487	7515000	8979000	7059000	7299000	7539000	6699000	
488	7512000	8976000	7056000	7296000	7536000	6696000	
489	7509000	8973000	7053000	7293000	7533000	6693000	
490	7554000	9090000	7170000	7290000	7530000	6690000	
491	7551000	9087000	7167000	7287000	7527000	6687000	
492	7572000	9204000	7164000	7284000	7524000	6684000	
493	7569000	9201000	7161000	7281000	7521000	6681000	
494	7590000	9198000	7158000	7398000	7518000	6678000	
495	7635000	9195000	7155000	7395000	7635000	6795000	
496	7632000	9192000	7152000	7392000	7632000	6792000	
497	7629000	9189000	7149000	7389000	7629000	6789000	
498	7650000	9186000	7266000	7386000	7626000	6786000	
499	7695000	9303000	7263000	7383000	7743000	6783000	
500	7716000	9300000	7380000	7380000	7740000	6780000	
501	7713000	9297000	7377000	7377000	7737000	6777000	
502	7782000	9294000	7494000	7494000	7854000	6774000	
