envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
250	2994000	3090000	3210000	2850000	2490000	3330000	
251	3015000	3087000	3207000	2847000	2487000	3447000	
252	3012000	3084000	3204000	2844000	2484000	3444000	
253	3033000	3081000	3201000	2841000	2601000	3441000	
254	3078000	3078000	3198000	2958000	2598000	3558000	
255	3075000	3075000	3195000	2955000	2595000	3555000	
256	3072000	3072000	3192000	2952000	2592000	3552000	
257	3069000	3069000	3189000	2949000	2589000	3549000	
258	3066000	3066000	3186000	2946000	2586000	3546000	
259	3111000	3063000	3183000	3063000	2703000	3543000	
260	3132000	3060000	3180000	3060000	2700000	3660000	
261	3153000	3057000	3177000	3177000	2697000	3657000	
262	3174000	3054000	3174000	3294000	2694000	3654000	
263	3195000	3051000	3171000	3411000	2691000	3651000	
264	3192000	3048000	3168000	3408000	2688000	3648000	
265	3237000	3165000	3285000	3405000	2685000	3645000	
266	3234000	3162000	3282000	3402000	2682000	3642000	
267	3255000	3159000	3399000	3399000	2679000	3639000	
268	3252000	3156000	3396000	3396000	2676000	3636000	
269	3249000	3153000	3393000	3393000	2673000	3633000	
270	3270000	3150000	3390000	3390000	2670000	3750000	
271	3315000	3267000	3387000	3507000	2667000	3747000	
272	3360000	3384000	3504000	3504000	2664000	3744000	
273	3357000	3381000	3501000	3501000	2661000	3741000	
274	3354000	3378000	3498000	3498000	2658000	3738000	
275	3399000	3375000	3495000	3495000	2775000	3855000	
276	3396000	3372000	3492000	3492000	2772000	3852000	
277	3393000	3369000	3489000	3489000	2769000	3849000	
278	3414000	3366000	3486000	3486000	2886000	3846000	
279	3411000	3363000	3483000	3483000	2883000	3843000	
280	3408000	3360000	3480000	3480000	2880000	3840000	
281	3405000	3357000	3477000	3477000	2877000	3837000	
282	3426000	3474000	3474000	3474000	2874000	3834000	
283	3447000	3471000	3471000	3591000	2871000	3831000	
284	3444000	3468000	3468000	3588000	2868000	3828000	
285	3513000	3585000	3585000	3585000	2865000	3945000	
286	3510000	3582000	3582000	3582000	2862000	3942000	
287	3555000	3579000	3699000	3579000	2979000	3939000	
288	3552000	3576000	3696000	3576000	2976000	3936000	
289	3573000	3573000	3693000	3573000	2973000	4053000	
290	3570000	3570000	3690000	3570000	2970000	4050000	
291	3591000	3687000	3687000	3567000	2967000	4047000	
292	3612000	3684000	3804000	3564000	2964000	4044000	
293	3633000	3681000	3801000	3681000	2961000	4041000	
294	3654000	3678000	3918000	3678000	2958000	4038000	
295	3651000	3675000	3915000	3675000	2955000	4035000	
296	3672000	3792000	3912000	3672000	2952000	4032000	
297	3669000	3789000	3909000	3669000	2949000	4029000	
298	3666000	3786000	3906000	3666000	2946000	4026000	
299	3687000	3783000	3903000	3783000	2943000	4023000	
300	3684000	3780000	3900000	3780000	2940000	4020000	
301	3681000	3777000	3897000	3777000	2937000	4017000	
302	3678000	3774000	3894000	3774000	2934000	4014000	
303	3675000	3771000	3891000	3771000	2931000	4011000	
304	3720000	3888000	3888000	3768000	2928000	4128000	
305	3741000	3885000	4005000	3765000	2925000	4125000	
306	3738000	3882000	4002000	3762000	2922000	4122000	
307	3735000	3879000	3999000	3759000	2919000	4119000	
308	3780000	3876000	4116000	3756000	2916000	4236000	
309	3801000	3873000	4233000	3753000	2913000	4233000	
310	3846000	3870000	4350000	3750000	3030000	4230000	
311	3843000	3867000	4347000	3747000	3027000	4227000	
312	3864000	3864000	4344000	3744000	3024000	4344000	
313	3909000	3861000	4461000	3861000	3021000	4341000	
314	3930000	3978000	4458000	3858000	3018000	4338000	
315	3927000	3975000	4455000	3855000	3015000	4335000	
316	3948000	3972000	4572000	3852000	3012000	4332000	
317	3945000	3969000	4569000	3849000	3009000	4329000	
318	3990000	3966000	4566000	3966000	3006000	4446000	
319	3987000	3963000	4563000	3963000	3003000	4443000	
320	3984000	3960000	4560000	3960000	3e+06	4440000	
321	3981000	3957000	4557000	3957000	2997000	4437000	
322	3978000	3954000	4554000	3954000	2994000	4434000	
323	4047000	4071000	4551000	4071000	3111000	4431000	
324	4044000	4068000	4548000	4068000	3108000	4428000	
325	4065000	4065000	4545000	4065000	3225000	4425000	
326	4062000	4062000	4542000	4062000	3222000	4422000	
327	4083000	4059000	4539000	4179000	3219000	4419000	
328	4080000	4056000	4536000	4176000	3216000	4416000	
329	4101000	4053000	4533000	4173000	3333000	4413000	
330	4122000	4050000	4650000	4170000	3330000	4410000	
331	4143000	4047000	4767000	4167000	3327000	4407000	
332	4164000	4044000	4764000	4164000	3324000	4524000	
333	4161000	4041000	4761000	4161000	3321000	4521000	
334	4158000	4038000	4758000	4158000	3318000	4518000	
335	4155000	4035000	4755000	4155000	3315000	4515000	
336	4176000	4032000	4752000	4152000	3312000	4632000	
337	4173000	4029000	4749000	4149000	3309000	4629000	
338	4194000	4026000	4746000	4266000	3306000	4626000	
339	4239000	4143000	4743000	4383000	3303000	4623000	
340	4284000	4260000	4740000	4380000	3420000	4620000	
341	4305000	4257000	4857000	4377000	3417000	4617000	
342	4302000	4254000	4854000	4374000	3414000	4614000	
343	4299000	4251000	4851000	4371000	3411000	4611000	
344	4344000	4248000	4968000	4368000	3408000	4728000	
345	4341000	4245000	4965000	4365000	3405000	4725000	
346	4386000	4362000	4962000	4482000	3402000	4722000	
347	4407000	4359000	5079000	4479000	3399000	4719000	
348	4428000	4356000	5076000	4596000	3396000	4716000	
349	4425000	4353000	5073000	4593000	3393000	4713000	
350	4422000	4350000	5070000	4590000	3390000	4710000	
351	4443000	4347000	5067000	4587000	3387000	4827000	
352	4440000	4344000	5064000	4584000	3384000	4824000	
353	4437000	4341000	5061000	4581000	3381000	4821000	
354	4458000	4458000	5058000	4578000	3378000	4818000	
355	4455000	4455000	5055000	4575000	3375000	4815000	
356	4500000	4452000	5172000	4572000	3372000	4932000	
357	4521000	4449000	5169000	4569000	3489000	4929000	
358	4518000	4446000	5166000	4566000	3486000	4926000	
359	4563000	4563000	5163000	4563000	3603000	4923000	
360	4584000	4560000	5160000	4560000	3720000	4920000	
361	4677000	4677000	5277000	4557000	3837000	5037000	
362	4698000	4674000	5394000	4554000	3834000	5034000	
363	4767000	4671000	5391000	4671000	3951000	5151000	
364	4788000	4788000	5388000	4668000	3948000	5148000	
365	4785000	4785000	5385000	4665000	3945000	5145000	
366	4830000	4782000	5502000	4662000	4062000	5142000	
367	4827000	4779000	5499000	4659000	4059000	5139000	
368	4824000	4776000	5496000	4656000	4056000	5136000	
369	4845000	4773000	5493000	4653000	4053000	5253000	
370	4866000	4770000	5490000	4650000	4170000	5250000	
371	4863000	4767000	5487000	4647000	4167000	5247000	
372	4884000	4764000	5604000	4644000	4164000	5244000	
373	4905000	4761000	5601000	4641000	4281000	5241000	
374	4950000	4758000	5718000	4638000	4398000	5238000	
375	4971000	4875000	5715000	4635000	4395000	5235000	
376	4968000	4872000	5712000	4632000	4392000	5232000	
377	4965000	4869000	5709000	4629000	4389000	5229000	
378	4962000	4866000	5706000	4626000	4386000	5226000	
379	5007000	4863000	5703000	4743000	4503000	5223000	
380	5028000	4860000	5700000	4740000	4500000	5340000	
381	5025000	4857000	5697000	4737000	4497000	5337000	
382	5022000	4854000	5694000	4734000	4494000	5334000	
383	5043000	4851000	5691000	4851000	4491000	5331000	
384	5040000	4848000	5688000	4848000	4488000	5328000	
385	5061000	4845000	5685000	4965000	4485000	5325000	
386	5082000	4842000	5682000	4962000	4602000	5322000	
387	5079000	4839000	5679000	4959000	4599000	5319000	
388	5076000	4836000	5676000	4956000	4596000	5316000	
389	5145000	4953000	5793000	5073000	4593000	5313000	
390	5142000	4950000	5790000	5070000	4590000	5310000	
391	5139000	4947000	5787000	5067000	4587000	5307000	
392	5136000	4944000	5784000	5064000	4584000	5304000	
393	5157000	4941000	5781000	5061000	4701000	5301000	
394	5154000	4938000	5778000	5058000	4698000	5298000	
